sku,name,category,description,color,width_cm,depth_cm,height_cm,image_url,product_url
10606155,INFORMA ELOISE MEJA MAKAN EXTENDABLE - ABU-ABU,Dining,"<ul>
<li>Top meja penuh dengan motif menarik yang elegan</li>
<li>Panjang adjustable</li>
<li>Desain top meja dapat diperpanjang sesuai kebutuhan</li>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki meja yang stabil</li>
<li>Meningkatkan tampilan ruang makan</li>
<li>Cocok digunakan di rumah apartemen hotel atau restoran&nbsp;</li>
</ul>",ABU,101.0,171.0,21.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10606155_1.jpg,https://www.ruparupa.com/p/informa-eloise-meja-makan-extendable-abu-abu.html
10606437,INFORMA ALTO SOFA MODULAR FABRIC KANAN 6 SEATER - ABU-ABU,LIVING UPHOLSTERED,"<ul>
<li>Rangka kokoh dan stabil</li>
<li>Menggunakan breathable fabric sehingga sirkulasi udara lebih baik</li>
<li>Menggunakan memory foam untuk mendistribusikan berat tubuh secara merata</li>
<li>Sofa dapat diatur sesuai dengan kebutuhan baik ingin dijadikan sofa ataupun bed</li>
<li>Bantalan punggung dan dudukan menggunakan feather untuk kenyamanan maksimal</li>
<li>Cocok untuk memenuhi kebutuhan di hunian pribadi atau area komersial</li>
<li>Dimensi produk :<br />
- Corner : 108 x 108 x 90 cm<br />
- Armless : 88 x 108 x 90 cm<br />
- Ottoman : 88 x 88 x 49 cm</li>
</ul>",ABU,108.0,108.0,266.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10606437_1.jpg,https://www.ruparupa.com/p/informa-alto-sofa-modular-fabric-kanan-6-seater-abu-abu.html
10606554,INFORMA SPENCER RAK TV - PUTIH,Living Non- Upholstered,"<ul>
<li>Desain minimalis</li>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki rak TV yang stabil</li>
<li>Dilengkapi rak dan kabinet penyimpanan</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga hotel dan tempat komersial lainnya</li>
</ul>",PUTIH,45.0,128.0,11.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10606554_1.jpg,https://www.ruparupa.com/p/informa-spencer-rak-tv-putih.html
10606555,INFORMA SPENCER RAK TV - HITAM,Living Non- Upholstered,"<ul>
<li>Desain minimalis</li>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki rak TV yang stabil</li>
<li>Dilengkapi rak dan kabinet penyimpanan</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga hotel dan tempat komersial lainnya</li>
</ul>",HITAM,46.0,128.0,11.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10606555_1.jpg,https://www.ruparupa.com/p/informa-spencer-rak-tv-hitam.html
10606556,INFORMA SYDNEY RAK TV - PUTIH,Living Non- Upholstered,"<ul>
<li>Desain minimalis</li>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki rak TV yang stabil</li>
<li>Dilengkapi rak dan kabinet penyimpanan</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga hotel dan tempat komersial lainnya</li>
</ul>",PUTIH,46.5,107.0,14.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10606556_1.jpg,https://www.ruparupa.com/p/informa-sydney-rak-tv-putih.html
10606557,INFORMA SYDNEY RAK TV - HIJAU TUA,Living Non- Upholstered,"<ul>
<li>Desain minimalis</li>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki rak TV yang stabil</li>
<li>Dilengkapi rak dan kabinet penyimpanan</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga hotel dan tempat komersial lainnya</li>
</ul>",HIJAU TUA,46.0,107.0,15.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10606557_1.jpg,https://www.ruparupa.com/p/informa-sydney-rak-tv-hijau-tua.html
10606558,INFORMA SPENCER CURIO LEMARI PAJANG 3 TINGKAT - PUTIH,Living Non- Upholstered,"<ul>
<li>Desain minimalis</li>
<li>Rangka kokoh stabil dan awet</li>
<li>Dilengkapi handle</li>
<li>Kaki dilengkapi pelindung agar tidak merusak lantai</li>
<li>Ideal ditempatkkan di ruang tamu ruang keluarga dan kantor</li>
<li>Cocok digunakan untuk meletakkan pajangan hiasan miniatur dan lainnya</li>
<li>Daya beban per ambalan :&nbsp;2.5 kg</li>
<li>Daya beban ambalan bawah : 5 kg</li>
</ul>",PUTIH,37.0,117.0,7.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10606558_1.jpg,https://www.ruparupa.com/p/informa-spencer-curio-lemari-pajang-3-tingkat-putih.html
10606559,INFORMA SPENCER CURIO LEMARI PAJANG 3 TINGKAT - HITAM,Living Non- Upholstered,"<ul>
<li>Desain minimalis</li>
<li>Rangka kokoh stabil dan awet</li>
<li>Dilengkapi handle ergonomis</li>
<li>Kaki dilengkapi pelindung agar tidak merusak lantai</li>
<li>Ideal ditempatkkan di ruang tamu ruang keluarga dan kantor</li>
<li>Cocok digunakan untuk meletakkan pajangan hiasan miniatur dan lainnya</li>
<li>Daya beban/ambalan : 2.5 kg</li>
</ul>",HITAM,41.0,120.0,6.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10606559_1.jpg,https://www.ruparupa.com/p/informa-spencer-curio-lemari-pajang-3-tingkat-hitam.html
10606560,INFORMA SPENCER CURIO LEMARI PAJANG 3 TINGKAT - COKELAT TAUPE,Living Non- Upholstered,"<ul>
<li>Desain minimalis</li>
<li>Rangka kokoh stabil dan awet</li>
<li>Dilengkapi handle ergonomis</li>
<li>Kaki dilengkapi pelindung agar tidak merusak lantai</li>
<li>Ideal ditempatkkan di ruang tamu ruang keluarga dan kantor</li>
<li>Cocok digunakan untuk meletakkan pajangan hiasan miniatur dan lainnya</li>
<li>Daya beban/ambalan : 2.5 kg</li>
</ul>",COKELAT TAUPE,36.0,118.0,6.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10606560_1.jpg,https://www.ruparupa.com/p/informa-spencer-curio-lemari-pajang-3-tingkat-cokelat-taupe.html
10606617,INFORMA ALTO SOFA MODULAR SUDUT FABRIC 1 SEATER - ABU-ABU,LIVING UPHOLSTERED,"<ul>
<li>Rangka kokoh dan stabil</li>
<li>Sofa dapat diatur sesuai dengan kebutuhan</li>
<li>Menggunakan breathable fabric sehingga sirkulasi udara lebih baik</li>
<li>Menggunakan memory foam untuk mendistribusikan berat tubuh secara merata</li>
<li>Bantalan punggung dan dudukan menggunakan feather untuk kenyamanan maksimal</li>
<li>Cocok untuk memenuhi kebutuhan di hunian pribadi atau area komersial</li>
</ul>",ABU,108.0,108.0,65.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10606617_1.jpg,https://www.ruparupa.com/p/informa-alto-sofa-modular-sudut-fabric-1-seater-abu-abu.html
