sku,name,category,description,color,width_cm,depth_cm,height_cm,image_url,product_url
10580852,SELMA KATO SET ALAT PEL,Selma,"<ul>
<li>Gagang ergonomis</li>
<li>Ember dengan sekat untuk memisahkan air kotor dan bersih</li>
<li>Bagian bawah ember dilengkapi lubang untuk pembuangan air</li>
<li>Kain pel dengan daya serap yang tinggi</li>
<li>Dapat membersihkan noda dan kotoran secara efektif</li>
<li>Isi set : 1 pc ember 1 pc alat pel</li>
<li>Dimensi pel : 12 x 32 x 122 cm</li>
<li>Dimensi ember : 17 x 20 x 36 cm</li>
</ul>",none,32.0,12.0,122.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10580852_1.jpg,https://www.ruparupa.com/p/selma-kato-set-alat-pel.html
10580876,INFORMA ZOWELL BANGKU BAR METAL - HITAM,Comm Chair Table,"<ul>
<li>Kaki bangku stabil</li>
<li>Rangka sofa yang kuat kokoh dan awet</li>
<li>Meningkatkan tampilan ruangan</li>
<li>Cocok digunakan di ruang makan restoran cafe bar atau tempat komersial lainnya</li>
<li>Isi set : 1 pc</li>
<li>Pengaturan tinggi dudukan : 60-81 cm</li>
</ul>",HITAM,42.0,43.0,42.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10580876_1.jpg,https://www.ruparupa.com/p/informa-zowell-bangku-bar-hitam.html
10580925,INFORMA FAYE RAK TV - PUTIH WALNUT,Living Non- Upholstered,"<ul>
<li>Permukaan rak cukup luas</li>
<li>Dilengkapi laci dan rakpenyimpanan</li>
<li>Rangka kuat kokoh dan stabil</li>
<li>Mudah dibersihkan</li>
<li>Menambah aksen dekoratif ruangan</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga atau area komersial</li>
<li>Material : melamine painting</li>
<li>Material kaki : metal powder coating</li>
</ul>",PUTIH WALNUT,45.0,160.0,11.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10580925_1.jpg,https://www.ruparupa.com/p/informa-faye-rak-tv-putih-walnut.html
10580926,INFORMA FAYE MEJA TAMU RECTANGLE - PUTIH WALNUT,Living Non- Upholstered,"<ul>
<li>Rangka kuat kokoh dan stabil</li>
<li>Permukaan meja cukup luas</li>
<li>Mudah dibersihkan</li>
<li>Menambah aksen dekoratif ruangan</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga atau area komersial</li>
<li>Material top :melamine</li>
<li>Finishing :<br />
- Top :painting<br />
- Kaki :powder coating</li>
</ul>",PUTIH WALNUT,55.0,120.0,9.7,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10580926_1.jpg,https://www.ruparupa.com/p/informa-faye-meja-tamu-rectangle-putih-walnut.html
10580927,INFORMA MEJA FLIP SIDE - COKELAT OAK,Living Non- Upholstered,"<ul>
<li>Meja dihiasi motif serat&nbsp;kayu yang natural</li>
<li>Meja dapat didirikan di bagian samping untuk dijadikan sebagai rak</li>
<li>Meningkatkan aksen dekoratif ruangan&nbsp;</li>
<li>Ruang penyimpanan besar</li>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki meja yang stabil</li>
<li>Pada permukaan dapat diletakkan lampu hias&nbsp;majalah vas dan sebagainya</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga dan tempat komersial&nbsp;</li>
</ul>",COKELAT OAK,33.0,69.0,9.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10580927_1.jpg,https://www.ruparupa.com/p/informa-meja-flip-side-cokelat-oak.html
10580928,INFORMA MEJA FLIP SIDE - HITAM,Living Non- Upholstered,"<ul>
<li>Meja dihiasi motif serat&nbsp;kayu yang natural</li>
<li>Meja dapat didirikan di bagian samping untuk dijadikan sebagai rak</li>
<li>Meningkatkan aksen dekoratif ruangan&nbsp;</li>
<li>Ruang penyimpanan besar</li>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki meja yang stabil</li>
<li>Pada permukaan dapat diletakkan lampu hias&nbsp;majalah vas dan sebagainya</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga dan tempat komersial&nbsp;</li>
</ul>",HITAM,34.7,71.0,9.2,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10580928_1.jpg,https://www.ruparupa.com/p/informa-meja-flip-side-hitam.html
10581413,INFORMA NACO LEMARI KABINET 3 PINTU - PUTIH,Storage Furniture,"<ul>
<li>Desain minimalis</li>
<li>Rangka kokoh stabil dan awet</li>
<li>Dilengkapi 3&nbsp;pintu tarik&nbsp;kaca</li>
<li>Memiliki 3 laci penyimpanan</li>
<li>Dilengkapi handle ergonomis</li>
<li>Dapat digunakan untuk menyimpan buku dekorasi&nbsp;atau barang lainnya</li>
<li>Top lemari dapat digunakan untuk menaruh foto vas atau barang lainnya</li>
<li>Cocok untuk memenuhi kebutuhan di kantor atau hunian pribadi</li>
</ul>",PUTIH,46.0,130.0,26.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10581413_1.jpg,https://www.ruparupa.com/p/informa-naco-lemari-kabinet-3-pintu-putih.html
10581414,INFORMA NACO LEMARI KABINET 2 PINTU DENGAN LACI 3 TINGKAT,Storage Furniture,"<ul>
<li>Desain minimalis</li>
<li>Rangka kokoh stabil dan awet</li>
<li>Dilengkapi 2 pintu ayunkaca</li>
<li>Memiliki 3tingkat penyimpanan</li>
<li>Pintu dilengkapihandle ergonomis</li>
<li>Dilengkapi 3 tingkat laci di sisi samping</li>
<li>Dapat digunakan untuk menyimpan buku dekorasiatau barang lainnya</li>
<li>Top lemari dapat digunakan untuk digunakan untuk menaruh foto vas atau barang lainnya</li>
<li>Cocok untuk memenuhi kebutuhan di kantor hunian pribadi atau area lainnya</li>
<li>Rak adjusbale dapat diatur</li>
<li>Isi set : 1 pc lemari kabinet</li>
<li>Daya beban : 15 kg</li>
<li>Material : MDF particle board tempered glass</li>
<li>Finishing : painting</li>
</ul>",none,53.0,150.0,20.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10581414_1.jpg,https://www.ruparupa.com/p/informa-naco-lemari-kabinet-2-pintu-dengan-laci-3-tingkat.html
10581415,INFORMA NACO RAK BUKU 2 PINTU - PUTIH,Storage Furniture,"<ul>
<li>Rak buku serbaguna</li>
<li>Desain minimalis dan modern</li>
<li>Dilengkapi dengan pintu kaca</li>
<li>Pintu dilengkapi dengan handle untuk memudahkan buka tutup</li>
<li>Konstruksi kuat dan kokoh</li>
<li>Mudah dibersihkan</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga dan tempat komersial lainnya</li>
<li>Pintu lemari dilengkapi kaca tempered glass</li>
<li>Isi set : 1 pc rak buku</li>
</ul>",PUTIH,94.0,131.0,42.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10581415_1.jpg,https://www.ruparupa.com/p/informa-naco-rak-buku-2-pintu-putih.html
10581419,INFORMA 160X200 CM PRIM SET KAMAR TIDUR - COKELAT OAK / PUTIH,Bedroom,"<ul>
<li>Desain modern</li>
<li>Dihiasi motif serat kayu natural</li>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki yang stabil</li>
<li>Membuat tampilan kamar tidur yang harmonis</li>
<li>Lemari pakaian dilengkapi laci penyimpanan 2 tingkat</li>
<li>Lemari pakaian dengan sistem pintu ayun</li>
<li>Laci dengan tempat penyimpanan tersembunyi</li>
<li>Laci dilengkapi kaca</li>
<li>Tempat penyimpanan dengan engsel soft-closing pada headboard tempat tidur</li>
<li>Cocok digunakan di rumah apartemen atau hotel</li>
<li>Isi set : 1 pc tempat tidur 1 pc nakas 1 pc lemari pakaian 1 pc laci penyimpanan</li>
<li>Finishing : paper</li>
<li>Material :<br />
- Nakas : particle board<br />
- Laci penyimpanan : particle board</li>
<li>Dimensi produk :<br />
- Tempat tidur : 219.6 x 167.9 x 78 cm<br />
- Nakas : 39.6 x 39.6 x 50.5 cm<br />
- Lemari pakaian : 90 x 50 x 190.5 cm<br />
- Laci penyimpanan : 80 x 39.6 x 85.5 cm</li>
</ul>",COKELAT OAK / PUTIH,62.0,204.0,87.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10581419_1.jpg,https://www.ruparupa.com/p/informa-160x200-cm-prim-set-kamar-tidur-cokelat-oak-putih.html
