sku,name,category,description,color,width_cm,depth_cm,height_cm,image_url,product_url
10633087,INFORMA NELL LACI PENYIMPANAN DOUBLE 3 TINGKAT - KREM,Bedroom,"<ul>
<li>Gold hardwares</li>
<li>Dilengkapi handle ergonomis</li>
<li>Kapasitas penyimpanan besar</li>
<li>Rangka kuat kokoh dan awet</li>
<li>Bagian top meja dapat untuk meletakkan aksesori</li>
<li>Ideal untuk menyimpan pakaian handuk atau barang lainnya</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga dan kamar tidur</li>
<li>Finishing : painting</li>
<li>Material : MDF</li>
<li>Dimensi produk : 155.3 x 41 x 85 cm</li>
</ul>",KREM,47.4,153.6,44.2,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10633087_1.jpg,https://www.ruparupa.com/p/informa-nell-laci-penyimpanan-double-3-tingkat-krem.html
10633088,INFORMA NELL NAKAS - KREM,Bedroom,"<ul>
<li>Gold hardwares</li>
<li>Dilengkapi handle ergonomis</li>
<li>Kapasitas penyimpanan besar</li>
<li>Rangka kuat kokoh dan awet</li>
<li>Bagian top meja dapat untuk meletakkan aksesori</li>
<li>Ideal diletakkan di sisi tempat tidur</li>
<li>Finishing : painting</li>
<li>Material : MDF</li>
<li>Dimensi produk : 60.2 x 39.8 x 71.2 cm</li>
</ul>",KREM,66.0,79.0,16.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10633088_1.jpg,https://www.ruparupa.com/p/informa-nell-nakas-krem.html
10633166,INFORMA HOWELL KURSI MAKAN FABRIC - PUTIH OAK,Dining,"<ul>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki kursi yang stabil</li>
<li>Kualitas dudukan dan sandaran yang nyaman</li>
<li>Cocok untuk penggunaan di hunian pribadi atau area komersial</li>
</ul>",PUTIH OAK,54.0,83.0,27.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10633166_1.jpg,https://www.ruparupa.com/p/informa-howell-kursi-makan-fabric-putih-oak.html
10633167,INFORMA HOWELL KURSI MAKAN FABRIC - COKELAT WALNUT,Dining,"<ul>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki kursi yang stabil</li>
<li>Kualitas dudukan dan sandaran yang nyaman</li>
<li>Cocok untuk penggunaan di hunian pribadi atau area komersial</li>
</ul>",COKELAT WALNUT,54.0,83.0,27.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10633167_1.jpg,https://www.ruparupa.com/p/informa-howell-kursi-makan-fabric-cokelat-walnut.html
10633168,INFORMA HELGA KURSI MAKAN FABRIC - KREM BEIGE,Dining,"<ul>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki kursi yang stabil</li>
<li>Kualitas dudukan dan sandaran yang nyaman</li>
<li>Cocok untuk penggunaan di hunian pribadi atau area komersial</li>
</ul>",KREM BEIGE,36.5,40.5,29.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10633168_1.jpg,https://www.ruparupa.com/p/informa-helga-kursi-makan-fabric-krem-beige.html
10633169,INFORMA HELGA KURSI MAKAN FABRIC - HIJAU EMERALD,Dining,"<ul>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki kursi yang stabil</li>
<li>Kualitas dudukan dan sandaran yang nyaman</li>
<li>Cocok untuk penggunaan di hunian pribadi atau area komersial</li>
</ul>",HIJAU EMERALD,36.5,40.5,29.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10633169_1.jpg,https://www.ruparupa.com/p/informa-helga-kursi-makan-fabric-hijau-emerald.html
10633170,INFORMA HELGA KURSI MAKAN FABRIC - MERAH BURGUNDY,Dining,"<ul>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki kursi yang stabil</li>
<li>Kualitas dudukan dan sandaran yang nyaman</li>
<li>Cocok untuk penggunaan di hunian pribadi atau area komersial</li>
</ul>",MERAH BURGUNDY,36.5,40.5,29.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10633170_1.jpg,https://www.ruparupa.com/p/informa-helga-kursi-makan-fabric-merah-burgundy.html
10633221,INFORMA HALLIE FLAVIAN I I SET MEJA MAKAN 4 KURSI - KREM BEIGE,Dining,"<ul>
<li>Konstruksi kuat dan kokoh</li>
<li>Kursi memiliki dudukan dan sandaran nyaman</li>
<li>Kaki kursi dan meja yang stabil</li>
<li>Meningkatkan tampilan ruangan&nbsp;</li>
<li>Permukaan meja luas dan mudah dibersihkan</li>
<li>Cocok digunakan di rumah apartemen cafe dan restoran</li>
</ul>",KREM BEIGE,86.5,146.5,62.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10633221_1.jpg,https://www.ruparupa.com/p/informa-hallie-flavian-i-i-set-meja-makan-4-kursi-krem-beige.html
10633222,INFORMA HALLIE FLAVIAN I I SET MEJA MAKAN 4 KURSI - HIIJAU/PUTIH,Dining,"<ul>
<li>Konstruksi kuat dan kokoh</li>
<li>Kursi memiliki dudukan dan sandaran nyaman</li>
<li>Kaki kursi dan meja yang stabil</li>
<li>Meningkatkan tampilan ruangan&nbsp;</li>
<li>Permukaan meja luas dan mudah dibersihkan</li>
<li>Cocok digunakan di rumah apartemen cafe dan restoran</li>
</ul>",HIIJAU/PUTIH,86.5,146.5,62.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10633222_1.jpg,https://www.ruparupa.com/p/informa-hallie-flavian-i-i-set-meja-makan-4-kursi-hiijau-putih.html
10633223,INFORMA HALLIE FLAVIAN I I MEJA MAKAN 4 KURSI - PINK/PUTIH,Dining,"<ul>
<li>Konstruksi kuat dan kokoh</li>
<li>Kursi memiliki dudukan dan sandaran nyaman</li>
<li>Kaki kursi dan meja yang stabil</li>
<li>Meningkatkan tampilan ruangan&nbsp;</li>
<li>Permukaan meja luas dan mudah dibersihkan</li>
<li>Cocok digunakan di rumah apartemen cafe dan restoran</li>
</ul>",PINK/PUTIH,86.5,146.5,62.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10633223_1.jpg,https://www.ruparupa.com/p/informa-hallie-flavian-i-i-meja-makan-4-kursi-pink-putih.html
