sku,name,category,description,color,width_cm,depth_cm,height_cm,image_url,product_url
10567968,INFORMA JEANNIE LAMPU MEJA RECHARGEABLE - PINK,LIGHTING,"<ul>
<li>Dilengkapi 3 warna cahaya</li>
<li>Dilengkapi kabel USB</li>
<li>Hemat daya listrik</li>
<li>Mempercantik aksen dekorasi ruangan</li>
<li>Mudah dibawa (portable)</li>
<li>Cocok digunakan di ruang tamu ruang keluarga dan kamar tidur</li>
<li>Waktu penggunaan : 7.5 jam</li>
</ul>",PINK,35.0,86.0,3.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10567968_1.jpg,https://www.ruparupa.com/p/informa-jeannie-lampu-meja-pink.html
10567969,INFORMA JEANNIE LAMPU MEJA RECHARGEABLE - HIJAU,LIGHTING,"<ul>
<li>Dilengkapi 3 warna cahaya</li>
<li>Dilengkapi kabel USB</li>
<li>Hemat daya listrik</li>
<li>Mempercantik aksen dekorasi ruangan</li>
<li>Mudah dibawa (portable)</li>
<li>Cocok digunakan di ruang tamu ruang keluarga dan kamar tidur</li>
<li>Waktu penggunaan : 7.5 jam</li>
</ul>",HIJAU,35.0,86.0,3.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10567969_1.jpg,https://www.ruparupa.com/p/informa-jeannie-lampu-meja-hijau.html
10567970,INFORMA JADEN LAMPU MEJA RECHARGEABLE - PUTIH,LIGHTING,"<ul>
<li>Dilengkapi 3 warna cahaya</li>
<li>Dilengkapi kabel USB</li>
<li>Hemat daya listrik</li>
<li>Mudah dibawa (portable)</li>
<li>Cocok digunakan di ruang tamu ruang keluarga dan kamar tidur</li>
</ul>",PUTIH,28.0,69.0,3.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10567970_1.jpg,https://www.ruparupa.com/p/informa-12-3x23-cm-jaden-lampu-meja-putih.html
10567971,INFORMA JADEN LAMPU MEJA RECHARGEABLE - ABU-ABU,LIGHTING,"<ul>
<li>Dilengkapi 3 warna cahaya</li>
<li>Dilengkapi kabel USB</li>
<li>Hemat daya listrik</li>
<li>Mudah dibawa (portable)</li>
<li>Cocok digunakan di ruang tamu ruang keluarga dan kamar tidur</li>
</ul>",ABU,28.0,69.0,3.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10567971_1.jpg,https://www.ruparupa.com/p/informa-12-3x23-cm-jaden-lampu-meja-abu-abu.html
10567972,INFORMA JOE LAMPU MEJA RECHARGEABLE - GOLD,LIGHTING,"<ul>
<li>Desain minimalis dan elegan</li>
<li>Terdapat 3 warna cahaya</li>
<li>Dilengkapi kabel USB</li>
<li>Hemat daya listrik</li>
<li>Mudah dibawa (portable)</li>
<li>Cocok digunakan di ruang tamu ruang keluarga dan kamar tidur</li>
<li>Waktu penggunaan : 7.5 jam</li>
</ul>",GOLD,35.0,77.0,5.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10567972_1.jpg,https://www.ruparupa.com/p/informa-joe-lampu-meja-gold.html
10567973,INFORMA JOE LAMPU MEJA RECHARGEABLE - ROSE GOLD,LIGHTING,"<ul>
<li>Desain minimalis dan elegan</li>
<li>Terdapat 3 warna cahaya</li>
<li>Dilengkapi kabel USB</li>
<li>Hemat daya listrik</li>
<li>Mudah dibawa (portable)</li>
<li>Cocok digunakan di ruang tamu ruang keluarga dan kamar tidur</li>
<li>Waktu penggunaan : 7.5 jam</li>
</ul>",ROSE GOLD,35.0,77.0,5.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10567973_1.jpg,https://www.ruparupa.com/p/informa-joe-lampu-meja-rose-gold.html
10567974,INFORMA JULIE LAMPU MEJA - PUTIH/HIJAU,LIGHTING,"<ul>
<li>Menggunakan kabel USB</li>
<li>Dilengkapi 3 warna cahaya dan2 tipe lamp shade</li>
<li>Hemat daya listrik</li>
<li>Mudah dibawa (portable)</li>
<li>Cocok digunakan di ruang tamu ruang keluarga dan kamar tidur</li>
</ul>",PUTIH/HIJAU,28.0,81.0,6.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10567974_1.jpg,https://www.ruparupa.com/p/informa-15x31-cm-julie-lampu-meja-putih-hijau.html
10567975,INFORMA JULIE LAMPU MEJA - PUTIH/HIJAU TUA,LIGHTING,"<ul>
<li>Menggunakan kabel USB</li>
<li>Dilengkapi 3 warna cahaya dan2 tipe lamp shade</li>
<li>Hemat daya listrik</li>
<li>Mudah dibawa (portable)</li>
<li>Cocok digunakan di ruang tamu ruang keluarga dan kamar tidur</li>
</ul>",PUTIH/HIJAU TUA,28.0,81.0,6.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10567975_1.jpg,https://www.ruparupa.com/p/informa-15x31-cm-julie-lampu-meja-putih-hijau-tua.html
10567976,INFORMA YOONA MEJA ANAK TRIANGLE - COKELAT MAPLE,Office Seating,"<ul>
<li>Dihiasi motif serat kayu natural</li>
<li>Dengan tinggi dan ukuran yang sesuai untuk kegiatan belajar dan bermain</li>
<li>Sudut meja yang tumpul</li>
<li>Mudah dipindahkan</li>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki meja yang stabil</li>
<li>Ideal digunakan sebagai meja belajar dan bermain anak</li>
<li>Cocok ditempatkan di kamar anak atau ruang bermain</li>
</ul>",COKELAT MAPLE,102.0,103.0,57.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10567976_1.jpg,https://www.ruparupa.com/p/informa-yoona-meja-anak-triangle-cokelat-maple.html
10567977,INFORMA YOONA MEJA ANAK RECTANGLE - COKELAT MAPLE,Office Seating,"<ul>
<li>Dihiasi motif serat kayu natural</li>
<li>Dengan tinggi dan ukuran yang sesuai untuk kegiatan belajar dan bermain</li>
<li>Sudut meja yang tumpul</li>
<li>Mudah dipindahkan</li>
<li>Rangka kuat dan kokoh</li>
<li>Memiliki kaki meja yang stabil</li>
<li>Ideal digunakan sebagai meja belajar dan bermain anak</li>
<li>Cocok ditempatkan di kamar anak atau ruang bermain</li>
</ul>",COKELAT MAPLE,85.0,98.0,57.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10567977_1.jpg,https://www.ruparupa.com/p/informa-yoona-meja-anak-rectangle-cokelat-maple.html
