sku,name,category,description,color,width_cm,depth_cm,height_cm,image_url,product_url
10439539,INFORMA 45X46X20.5 CM ANTON KOTAK PENYIMPANAN LIPAT - ABU-ABU,Home Organizer,"<ul>
<li>Sistem penutup ritselting</li>
<li>Melindungi dari debu kotoran dan lainnya</li>
<li>Mudah dibersihkan</li>
<li>Hemat ruang penyimpanan</li>
<li>Cocok untuk menyimpan seprai sarung bantal dan lainnya</li>
<li>DImensi produk<br />
- Saat dilipat : 20 x 24 x 3 cm<br />
- Saat tidak dilipat : 45 x 46 x20.5 cm</li>
</ul>",ABU,2.0,21.0,26.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10439539_1.jpg,https://www.ruparupa.com/p/bedding-cover-anton-45x46x20-5-cm.html
10439540,INFORMA 31.5X24.5X31.5 CM ANTON KOTAK PENYIMPANAN LIPAT,Home Organizer,"<ul>
<li>Hemat ruang penyimpanan</li>
<li>Dilengkapi dengan handle ergonomis</li>
<li>Mudah diangkat atau dipindahkan</li>
<li>Cocok digunakan untuk menyimpan pakaian&nbsp;mainan buku dan barang lainnya</li>
</ul>",none,33.0,33.0,2.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10439540_1.jpg,https://www.ruparupa.com/p/anton-31-5x24-5x31-5-cm-kotak-penyimpanan-lipat.html
10439541,INFORMA MACY 120 CM RAK METAL 3 TINGKAT - COKELAT KAYU,Storage Furniture,"<ul>
<li>Desain minimalis</li>
<li>Rangka kokoh dan stabil</li>
<li>Multifungsi untuk menyimpan dekorasi hiasan buku dan kebutuhan lainnya</li>
</ul>",COKELAT KAYU,40.5,182.0,14.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10439541_1.jpg,https://www.ruparupa.com/p/informa-120-cm-macy-lemari-rak-3-tingkat.html
10439542,INFORMA MACY RAK METAL 3 TINGKAT - COKELAT WALNUT,Storage Furniture,"<ul>
<li>Desain minimalis</li>
<li>Rangka kokoh dan stabil</li>
<li>Multifungsi untuk menyimpan dekorasi hiasan buku dan kebutuhan lainnya</li>
</ul>",COKELAT WALNUT,40.5,182.0,14.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10439542_1.jpg,https://www.ruparupa.com/p/informa-120-cm-macy-lemari-rak-3-tingkat-walnut.html
10439590,INFORMA MAINE SOFA BED KULIT - HITAM,LIVING UPHOLSTERED,"<ul>
<li>Sofa multifungsi</li>
<li>Mudah diubah menjadi sofa dan tempat tidur</li>
<li>Kerangka sofa kokoh dan kuat</li>
<li>Memiliki busa yang nyaman dan empuk</li>
<li>Material filling : busa</li>
<li>Kedalaman dudukan : 62 cm</li>
<li>Tinggi sandaran lengan (dari lantai) : 56.5 cm</li>
<li>*Kaki sofa terdapat di bawah sofa atau pada kain puring dalam packaging</li>
</ul>",HITAM,118.0,151.0,56.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10439590_1.jpg,https://www.ruparupa.com/p/maine-sofa-tidur-pu-200-hitam.html
10439751,INFORMA LOUISE KURSI MAKAN FABRIC - BIRU/GOLD,Dining,"<ul>
<li>Memiliki dudukan dan sandaran yang nyaman</li>
<li>Rangka kokoh dan stabil</li>
<li>Material berkualitas dan awet</li>
<li>Cocok untuk hunian pribadi atau area komersial</li>
</ul>
<script src=""chrome-extension://fbnkflkahhlmhdgkddaafgnnokifobik/assets/pageScripts.js""></script><script src=""chrome-extension://fbnkflkahhlmhdgkddaafgnnokifobik/assets/pageScripts.js""></script><script src=""chrome-extension://fbnkflkahhlmhdgkddaafgnnokifobik/assets/pageScripts.js""></script><script src=""chrome-extension://fbnkflkahhlmhdgkddaafgnnokifobik/assets/pageScripts.js""></script>",BIRU/GOLD,56.0,69.0,53.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10439751_1.jpg,https://www.ruparupa.com/p/louise-kursi-makan-49-5x54x80-5-cm-biru-gold.html
10439752,INFORMA LOUISE KURSI MAKAN FABRIC - PINK/GOLD,Dining,"<ul>
<li>Memiliki dudukan dan sandaran yang nyaman</li>
<li>Rangka kokoh dan stabil</li>
<li>Material berkualitas dan awet</li>
<li>Cocok untuk hunian pribadi atau area komersial</li>
</ul>",PINK/GOLD,56.0,69.0,53.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10439752_1.jpg,https://www.ruparupa.com/p/louise-kursi-makan-49-5x54x80-5-cm-pink-gold.html
10439753,INFORMA LOUISE KURSI MAKAN FABRIC - ABU-ABU/GOLD,Dining,"<ul>
<li>Memiliki dudukan dan sandaran yang nyaman</li>
<li>Rangka kokoh dan stabil</li>
<li>Material berkualitas dan awet</li>
<li>Cocok untuk hunian pribadi atau area komersial</li>
</ul>",ABU/GOLD,56.0,69.0,25.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10439753_1.jpg,https://www.ruparupa.com/p/louise-kursi-makan-49-5x54x80-5-cm-abu-abu-gold.html
10439754,INFORMA EVELYN KURSI MAKAN FABRIC - ABU-ABU/HITAM,Dining,"<ul>
<li>Kualitas dudukan dan sandaran yang nyaman</li>
<li>Permukaan terasa lembut</li>
<li>Rangka kursi kuat kokoh dan stabil</li>
</ul>",ABU/HITAM,46.5,71.5,53.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10439754_1.jpg,https://www.ruparupa.com/p/evelyn-kursi-makan-abu-abu-hitam.html
10439755,INFORMA BROOKE KURSI MAKAN FABRIC - ABU-ABU/HITAM,Dining,"<ul>
<li>Rangka kuat kokoh dan stabil</li>
<li>Dilengkapi cushion pada dudukan dan sandaran&nbsp;yang nyaman</li>
<li>Permukaan terasa halus</li>
<li>Cocok untuk kebutuhan di hunian pribadi atau area komersial</li>
</ul>",ABU/HITAM,58.0,61.0,52.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10439755_1.jpg,https://www.ruparupa.com/p/brooke-kursi-makan-58x55x83-cm-abu-abu-hitam.html
