sku,name,category,description,color,width_cm,depth_cm,height_cm,image_url,product_url
10542946,INFORMA SET 4 PCS BODIL DISPENSER SABUN CUCI PIRING - ABU-ABU,Home Organizer,"<ul>
<li>Kompartemen dengan sekat pembatas</li>
<li>Bulu sikat kuat dan memiliki gagang ergonomis</li>
<li>Dispenser dan wadah penyimpanan mudah dibersihkan</li>
<li>Cocokdiletakkan di atas permukaan rak cuci piring atau wastafel</li>
<li>Isi set :<br />
- 2 pcs dispenser sabun<br />
- 1 pc sikat cuci piring<br />
- 1 pc spons</li>
<li>Dimensi produk : 12 x 9.5 x 5 cm</li>
</ul>",ABU,33.0,11.0,16.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10542946_1.jpg,https://www.ruparupa.com/p/informa-set-4-pcs-bodil-dispenser-sabun-cuci-piring-abu-abu.html
10542947,INFORMA SET 3 PCS BRITTE DISPENSER SABUN CUCI PIRING - PUTIH,Home Organizer,"<ul>
<li>Kompartemen dengan sekat pembatas</li>
<li>Bulu sikat kuat dan memiliki gagang ergonomis</li>
<li>Dispenser dan wadah penyimpanan mudah dibersihkan</li>
<li>Cocokdiletakkan di atas permukaan rak cuci piring atau wastafel</li>
<li>Isi set :<br />
- 1pcdispenser sabun<br />
- 1 pc sikat cuci piring<br />
- 1 pc spons</li>
<li>Dimensi produk : 13 x 11.5 x 23 cm</li>
</ul>",PUTIH,14.1,12.75,23.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10542947_1.jpg,https://www.ruparupa.com/p/informa-set-3-pcs-britte-dispenser-sabun-cuci-piring-putih.html
10542948,INFORMA SET 2 PCS BELDA DISPENSER SABUN CUCI PIRING - PUTIH,Home Organizer,"<ul>
<li>Dilengkapi dengan kompartemen spons</li>
<li>Mudah dibersihkan</li>
<li>Cocokdiletakkan di atas permukaan rak cuci piring atau wastafel</li>
<li>Isi set :1 pc spons cuci piring 1 pc dispenser sabun cuci</li>
<li>Dimensi produk : 17 x 7.2 x 14.3 cm</li>
</ul>",PUTIH,8.5,13.5,16.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10542948_1.jpg,https://www.ruparupa.com/p/informa-set-2-pcs-belda-dispenser-sabun-cuci-piring-putih.html
10543587,INFORMA SLEEP 43X63 CM PELINDUNG BANTAL COOLING ST - ABU-ABU,Textile Bedding,"<ul>
<li>Melindungi permukaan bantal dari debu dan noda</li>
<li>Permukaan terasa sejuk dan memberikan sensasi dingin</li>
<li>Terdapat karet elastis</li>
<li>Mudah dipasang pada bantal</li>
<li>Dapat dicuci dengan mesin</li>
<li>Dapat mencegah kelembapan</li>
</ul>",ABU,18.0,29.0,2.3,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10543587_1.jpg,https://www.ruparupa.com/p/informa-sleep-43x63-cm-pelindung-bantal-cooling-st-abu-abu.html
10543628,INFORMA SLEEP 43X63 CM PELINDUNG BANTAL COOLING ST - BIRU,Textile Bedding,"<ul>
<li>Melindungi permukaan bantal dari debu dan noda</li>
<li>Permukaan terasa sejuk dan memberikan sensasi dingin</li>
<li>Terdapat karet elastis</li>
<li>Mudah dipasang pada bantal</li>
<li>Machine washable</li>
<li>Dapat mencegah kelembapan</li>
</ul>",BIRU,18.0,29.0,2.3,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10543628_1.jpg,https://www.ruparupa.com/p/informa-sleep-43x63-cm-pelindung-bantal-cooling-st-biru.html
10543721,INFORMA MOSO MEJA KONSOL BAMBU,Living Non- Upholstered,"<ul>
<li>Desain rak asymmetric</li>
<li>Dilengkapi kompartemen untuk menata pajangan</li>
<li>Material bambu yang ramah lingkungan aman dan ringan</li>
<li>Tidak memerlukan perawatan dengan cairan khusus (produk organik)</li>
<li>Rangka kokoh dan tahan lama</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga area foyer atau area komersial</li>
<li>Daya beban per ambalan : 10 kg</li>
<li>Material :<br />
-Rak : kaca tempered 5 mm<br />
-Frame : bambu</li>
</ul>",none,40.0,121.0,13.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10543721_1.jpg,https://www.ruparupa.com/p/informa-moso-meja-konsol-bambu.html
10543807,INFORMA 13X11X16 CM LAMPU TIDUR DENGAN JAM ALARM BEAR,LIGHTING,"<ul>
<li>Lampu tidur portable dengan tap control</li>
<li>Jam & alarm</li>
<li>BPA free</li>
<li>Kecerahan dapat disesuaikan</li>
<li>All night companion</li>
<li>Cocok untuk penggunaan di dalam ruangan (jauhkan dari air)</li>
<li>Warna lampu : natural white</li>
<li>Kapasitas baterai : 1200 mAh</li>
<li>Usia pemakaian produk : 2 tahun</li>
</ul>",NATURAL,34.0,34.0,3.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10543807_1.jpg,https://www.ruparupa.com/p/informa-13x11x16-cm-lampu-tidur-dengan-jam-alarm-bear.html
10543808,INFORMA 13X9X13 CM LAMPU TIDUR 7 WARNA KOALA,LIGHTING,"<ul>
<li>Lampu tidur portable dengan tap control</li>
<li>Fitur timer</li>
<li>BPA free</li>
<li>Kecerahan cahaya dapat disesuaikan</li>
<li>Cocok untuk penggunaan di dalam ruangan (jauhkan dari air)</li>
<li>Warna lampu : natural white atauwarna-warni</li>
<li>Kapasitas baterai : 1200 mAh</li>
</ul>",NATURAL,31.0,41.0,1.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10543808_1.jpg,https://www.ruparupa.com/p/informa-13x9x13-cm-lampu-tidur-7-warna-koala.html
10543809,INFORMA 12X9X14 CM LAMPU TIDUR 7 WARNA DYNO,LIGHTING,"<ul>
<li>Lampu tidur portable dengan tap control</li>
<li>Fitur timer</li>
<li>BPA free</li>
<li>Kecerahan cahaya dapat disesuaikan</li>
<li>Cocok untuk penggunaan di dalam ruangan (jauhkan dari air)</li>
<li>Warna lampu : natural white atau&nbsp;warna-warni</li>
<li>Kapasitas baterai : 1200 mAh</li>
</ul>",NATURAL,35.0,44.0,1.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10543809_1.jpg,https://www.ruparupa.com/p/informa-12x9x14-cm-lampu-tidur-7-warna-dyno.html
10543810,INFORMA 11X13X18CM LAMPU TIDUR BUNNY PRIME,LIGHTING,"<ul>
<li>Lampu tidur portable dengan tap control</li>
<li>Timer function</li>
<li>BPA free</li>
<li>Kecerahan dapat disesuaikan</li>
<li>All night companion</li>
<li>Cocok untuk penggunaan di dalam ruangan (jauhkan dari air)</li>
<li>Warna lampu : natural white</li>
<li>Kapasitas baterai : 1200 mAh</li>
<li>Usia pemakaian produk : 2 tahun</li>
</ul>",NATURAL,40.0,49.0,2.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10543810_1.jpg,https://www.ruparupa.com/p/informa-11x13x18cm-lampu-tidur-bunny-prime.html
