sku,name,category,description,color,width_cm,depth_cm,height_cm,image_url,product_url
10467115,INFORMA 67X67.5 CM SET HIASAN DINDING KANVAS PRINT LEAVES,Home Decore,"<ul>
<li>Menggunakan teknik gambar cetak (printing)</li>
<li>Desain gambar dengan tema tanaman</li>
<li>Menjadikan ruangan tampak lebih estetik</li>
<li>Cocok untuk hunian pribadi dan area komersial</li>
</ul>",none,69.0,67.0,7.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10467115_1.jpg,https://www.ruparupa.com/p/informa-67x67-5-cm-set-4-pcs-hiasan-dinding-kanvas-print-leaves-v1.html
10467116,INFORMA 67X67.5 CM SET HIASAN DINDING KANVAS PRINT PLANTS,Home Decore,"<ul>
<li>Menggunakan teknik gambar cetak (printing)</li>
<li>Menambah aksen dekorasi ruangan</li>
<li>Cocok untuk hunian pribadi dan area komersial</li>
</ul>",none,68.0,67.0,7.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10467116_1.jpg,https://www.ruparupa.com/p/informa-67x67-5-cm-set-4-pcs-hiasan-dinding-kanvas-print-plants.html
10467119,INFORMA 97.5X88.5 CM SET HIASAN DINDING KANVAS PRINT JUNGLE,Home Decore,"<ul>
<li>Menggunakan teknik gambar cetak (printing)</li>
<li>Menambah aksen dekorasi ruangan</li>
<li>Cocok untuk hunian pribadi dan area komersial</li>
</ul>",none,88.5,97.5,9.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10467119_1.jpg,https://www.ruparupa.com/p/informa-97-5x88-5-cm-set-5-pcs-hiasan-dinding-kanvas-print-jungle.html
10467120,INFORMA 97.5X88.5 CM SET HIASAN DINDING KANVAS PRINT GEO 8,Home Decore,"<ul>
<li>Menggunakan teknik gambar cetak (printing)</li>
<li>Desain gambar dengan tema menarik</li>
<li>Menjadikan ruangan tampak lebih estetik</li>
<li>Cocok untuk hunian pribadi dan area komersial</li>
<li>Isi set :<br />
-3 pcs hiasan dinding ukuran 25 x 35 cm<br />
-2 pcs hiasan dinding ukuran 45 x 45 cm</li>
</ul>",none,88.5,97.5,9.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10467120_1.jpg,https://www.ruparupa.com/p/informa-97-5x88-5-cm-set-5-pcs-hiasan-dinding-kanvas-print-geo-8.html
10467121,INFORMA 97.5X88.5 CM SET 5 PCS HIASAN KANVAS PRINT BW 3,Home Decore,"<ul>
<li>Menggunakan teknik gambar cetak (printing)</li>
<li>Menambah aksen dekorasi ruangan</li>
<li>Cocok untuk hunian pribadi dan area komersial</li>
</ul>",none,89.0,98.0,9.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10467121_1.jpg,https://www.ruparupa.com/p/informa-97-5x88-5-cm-set-5-pcs-hiasan-dinding-kanvas-print-bw-3.html
10467124,INFORMA 72.5X34.5X94.5 CM BEN RAK SEPATU DENGAN LACI,Home Organizer,"<ul>
<li>Desain modern</li>
<li>Dilengkapi 2 buah laci penyimpanan</li>
<li>Konstruksi kuat dan kokoh</li>
<li>Material laci penyimpanan : particle board&nbsp;</li>
</ul>",none,35.0,96.0,15.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10467124_1.jpg,https://www.ruparupa.com/p/informa-72-5x34-5x94-5-cm-ben-rak-sepatu-dengan-laci.html
10467125,INFORMA KOTAK PERHIASAN & CERMIN 19X13.5X31 CM - PINK,Home Organizer,"<ul>
<li>Desain elegan</li>
<li>Dilengkapi cermin</li>
<li>Untuk menyimpan koleksi perhiasan</li>
<li>Memiliki 2 laci penyimpanan</li>
<li>Material : metal steel fabric</li>
</ul>",PINK,15.5,22.0,35.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10467125_1.jpg,https://www.ruparupa.com/p/informa-kotak-perhiasan-cermin-pink.html
10467343,INFORMA IRINA KABINET PENYIMPANAN - PUTIH,Dining,"<ul>
<li>Desain elegan&nbsp;</li>
<li>Memiliki 3 tingkat laci penyimpanan</li>
<li>Kompartemen penyimpanan cukup luas</li>
<li>Rangka kokoh stabil dan awet</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga atau kamar tidur</li>
</ul>",PUTIH,86.0,172.0,21.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10467343_1.jpg,https://www.ruparupa.com/p/irina-kabinet-penyimpanan-putih.html
10467344,INFORMA ILIZA KABINET - TAUPE MUDA,Dining,"<ul>
<li>Desain elegan</li>
<li>Kompartemen penyimpanan cukup luas</li>
<li>Rangka kokoh stabil dan awet</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga atau kamar tidur</li>
</ul>",TAUPE MUDA,54.0,168.0,24.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10467344_1.jpg,https://www.ruparupa.com/p/iliza-kabinet-serbaguna-light-taupe.html
10467345,INFORMA ISLA KABINET PENYIMPANAN - LIGHT TAUPE,Dining,"<ul>
<li>Desain elegan&nbsp;</li>
<li>Memiliki 6 laci penyimpanan</li>
<li>Kompartemen penyimpanan cukup luas</li>
<li>Rangka kokoh stabil dan awet</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga dan kamar tidur</li>
</ul>",LIGHT TAUPE,53.0,153.0,25.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10467345_1.jpg,https://www.ruparupa.com/p/isla-kabinet-penyimpanan-light-taupe.html
