sku,name,category,description,color,width_cm,depth_cm,height_cm,image_url,product_url
10014625,INFORMA KESET KAMAR MANDI SQUARE,Homeware,"<ul>
<li>Anti-slip</li>
<li>Permukaan lembut dan empuk saat dipijak</li>
<li>Mudah dibersihkan</li>
</ul>",none,1.0,78.0,38.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10014625_1.jpg,https://www.ruparupa.com/p/informa-keset-kamar-mandi-square.html
10014971,INFORMA 66X36 CM KESET KAMAR MANDI ANTISLIP PVC OVAL - TRANSPARAN,Home Organizer,"<ul>
<li>Antislip</li>
<li>Mudah dibersihkan</li>
<li>Cocok untuk penggunaan di dalam kamar mandi</li>
</ul>",TRANSPARAN,36.0,66.0,1.1,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10014971_1.jpg,https://www.ruparupa.com/p/karpet-kamar-mandi-antislip-pvc-oval-transparan.html
10015857,INFORMA CERMIN RIAS MEJA PEMBESARAN 5X - CHROME,Home Organizer,"<ul>
<li>Pembesaran objek 5x lipat</li>
<li>Memudahkan proses make up dengan detail tinggi</li>
<li>Refleksi yang jernih</li>
<li>Praktis dan mudah dibawa bepergian</li>
<li>Material : kaca iron</li>
</ul>",CHROME,14.5,19.0,31.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10015857_1.jpg,https://www.ruparupa.com/p/cermin-rias-pembesaran-5x-chrome.html
10016918,INFORMA ZENIFF TEMPAT TIDUR PIJAT ADJUSTABLE - COKELAT/MERAH,Beauty & Wellness,"<ul>
<li>Ketinggian tempat tidur dapat diatur</li>
<li>Hemat ruang penyimpanan</li>
<li>Bobot ringan sehingga mudah dibawa bepergian</li>
<li>Posisi bantal dapat diubah atau digunakan bergantian</li>
<li>Terdapat 2 pilihan bantal</li>
<li>Cocok untuk massage salon terapi dan SPA di rumah atau area komersial</li>
<li>Ketinggian kursi dapat disesuaikan : 52-74 cm</li>
</ul>",COKELAT/MERAH,22.0,96.0,73.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10016918_1.jpg,https://www.ruparupa.com/p/zeniff-tempat-tidur-pijat-cokelat-merah.html
10017836,Informa Kotak Tisu Kulit Rectangle - Cokelat Taupe,Home Organizer,"<ul>
<li>Bahan dasar kulit</li>
<li>Desain modern</li>
<li>Cocok untuk tisu wajah</li>
</ul>",COKELAT TAUPE,14.4,26.3,10.9,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10017836_1.jpg,https://www.ruparupa.com/p/tempat-tisu-kulit-cokelat-muda.html
10018976,INFORMA YELETS BANGKU MAKAN KAYU - COKELAT/PUTIH,Dining,"<ul>
<li>Rangka kuat kokoh dan stabil</li>
<li>Kualitas dudukan nyaman</li>
<li>Cocok untuk penggunaan di hunian pribadi atau area komersial</li>
</ul>",COKELAT/PUTIH,49.0,120.0,10.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10018976_1.jpg,https://www.ruparupa.com/p/yelets-bangku-makan.html
10019760,INFORMA YELETS SET MEJA MAKAN 2 KURSI & 1 BANGKU - COKELAT,Dining,"<ul>
<li>Rangka meja dan bangku kokoh</li>
<li>Meningkatkan tampilan ruang makan&nbsp;</li>
<li>Cocok diletakkan di ruang tamu&nbsp;dan ruang komersial lainnya</li>
<li>Isi set :&nbsp;1 pc meja 2&nbsp;pcs kursi 1 pc bangku panjang</li>
<li>Dimensi produk :<br />
- Meja : 150 x 90 x 74.5 cm<br />
- Kursi : 48 x 51 x 83 cm<br />
- Bangku : 110 x 43 x 45 cm</li>
</ul>",COKELAT,94.0,156.0,10.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10019760_1.jpg,https://www.ruparupa.com/p/yelets-set-meja-makan.html
10020000,INFORMA 44.5 CM SET 8 PCS HANGER BAJU KAYU - COKELAT,Home Organizer,"<ul>
<li>Desain minimalis</li>
<li>Memiliki handle bar yang kokoh dan awet</li>
<li>Cocok untuk menggantungkan pakaian scarf dan sebagainya</li>
</ul>",COKELAT,1.0,45.0,24.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10020000_1.jpg,https://www.ruparupa.com/p/gantungan-baju-kayu-cokelat-tua.html
10020001,INFORMA 44.5 CM SET 8 PCS HANGER BAJU KAYU - PUTIH,Home Organizer,"<ul>
<li>Desain minimalis</li>
<li>Material berkualitas yang tahan lama</li>
<li>Cocok untuk pengunaan sehari-hari</li>
<li>Daya beban : 5 kg</li>
</ul>",PUTIH,1.0,45.0,23.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10020001_1.jpg,https://www.ruparupa.com/p/set-gantungan-baju-kayu-8-pcs-putih.html
10020243,INFORMA LE MARS MEJA TAMU - HITAM,Living Non- Upholstered,"<ul>
<li>Mudah dibersihkan</li>
<li>Rangka kaki kuat kokoh dan stabil</li>
<li>Menambah aksen dekoratif ruangan</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga atau area komersial</li>
</ul>",HITAM,75.0,135.0,32.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10020243_1.jpg,https://www.ruparupa.com/p/le-mars-meja-tamu-hitam.html
