sku,name,category,description,color,width_cm,depth_cm,height_cm,image_url,product_url
10499628,INFORMA 32.5X26X19 CM KERANJANG PENYIMPANAN SUSUN - HITAM,Home Organizer,"<ul>
<li>Keranjang penyimpanan serbaguna</li>
<li>Desain stackable / dapat ditumpuk dengan keranjang sejenis</li>
<li>Dilengkapi handle pada kedua sisi keranjang</li>
</ul>",HITAM,27.0,33.5,20.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10499628_1.jpg,https://www.ruparupa.com/p/informa-32-5x26x19-cm-keranjang-penyimpanan-susun-hitam.html
10499629,INFORMA 32.5X16X14.5 CM KERANJANG PENYIMPANAN SUSUN - HITAM,Home Organizer,"<ul>
<li>Keranjang penyimpanan serbaguna</li>
<li>Desain stackable / dapat ditumpuk dengan keranjang sejenis</li>
<li>Dilengkapi handle pada kedua sisi keranjang</li>
</ul>",HITAM,17.0,33.5,15.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10499629_1.jpg,https://www.ruparupa.com/p/informa-32-5x16x14-5-cm-keranjang-penyimpanan-susun-hitam.html
10499701,INFORMA 35X35X35 CM KERANJANG PENYIMPANAN CAT - HITAM/PUTIH,Home Organizer,"<ul>
<li>Dihiasi gambar kucing yang menarik</li>
<li>Dilengkapi handle</li>
<li>Dapat dilipat</li>
<li>Cocok untuk menyimpan mainan buku alat tulis hingga charger maupun kabel</li>
</ul>",HITAM/PUTIH,3.0,53.0,35.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10499701_1.jpg,https://www.ruparupa.com/p/informa-35-cm-keranjang-penyimpanan-cat-hitam-putih.html
10499702,INFORMA 35X35X35 CM KERANJANG PENYIMPANAN ELEPHANT - ABU-ABU,Home Organizer,"<ul>
<li>Dihiasi gambar gajah yang menarik</li>
<li>Dilengkapi handle</li>
<li>Dapat dilipat</li>
<li>Cocok untuk menyimpan mainan buku alat tulis hingga charger maupun kabel</li>
<li>Material : polycotton</li>
<li>Dimensi produk : 35 x 35 x 35 cm</li>
</ul>",ABU,3.0,54.0,35.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10499702_1.jpg,https://www.ruparupa.com/p/informa-35-cm-keranjang-penyimpanan-elephant-abu-abu.html
10499703,INFORMA 35X35X35 CM KERANJANG PENYIMPANAN DOG - COKELAT,Home Organizer,"<ul>
<li>Dihiasi gambar anjing yang menarik</li>
<li>Dilengkapi handle</li>
<li>Dapat dilipat</li>
<li>Cocok untuk menyimpan mainan buku alat tulis hingga charger maupun kabel</li>
<li>Material : polycotton</li>
<li>Dimensi produk : 35 x 35 x 35 cm</li>
</ul>",COKELAT,3.0,54.0,35.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10499703_1.jpg,https://www.ruparupa.com/p/informa-35-cm-keranjang-penyimpanan-dog-cokelat.html
10499704,INFORMA 35X35X35 CM KERANJANG PENYIMPANAN GIRAFFE - KUNING,Home Organizer,"<ul>
<li>Dihiasi gambar kucing yang menarik</li>
<li>Dilengkapi handle</li>
<li>Dapat dilipat</li>
<li>Cocok untuk menyimpan mainan buku alat tulis hingga charger maupun kabel</li>
<li>Material : polycotton</li>
</ul>",KUNING,3.0,54.0,41.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10499704_1.jpg,https://www.ruparupa.com/p/informa-35-cm-keranjang-penyimpanan-giraffe-kuning.html
10499705,INFORMA 35X25X18 CM KERANJANG PENYIMPANAN TALI KATUN - PUTIH,Home Organizer,"<ul>
<li>Dihiasi anyaman tali katun yang menarik</li>
<li>Cocok untuk menyimpan mainan buku alat tulis hingga charger maupun kabel</li>
<li>Material : besi dibungkus kain rope</li>
<li>Dimensi produk : 35 x 25 x 18 cm</li>
</ul>",PUTIH,25.5,35.5,18.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10499705_1.jpg,https://www.ruparupa.com/p/informa-ukuran-m-keranjang-penyimpanan-tali-katun-putih.html
10499718,INFORMA G COUNCIL KURSI KANTOR SANDARAN TINGGI - HITAM,Office Seating,"<ul>
<li>Dudukan dan sandaran nyaman</li>
<li>Permukaan terasa halus lembut dan sejuk di kulit</li>
<li>Dapat berputar 360&deg;</li>
<li>Dilengkapi tuas pengatur tinggi dudukan</li>
<li>Rangka kursi kokoh stabil dan awet</li>
<li>Ideal digunakan di kantor atau ruang kerja</li>
<li>Produk ini bersertifikasi TKDN</li>
</ul>",HITAM,62.0,96.0,65.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10499718_1.jpg,https://www.ruparupa.com/p/informa-g-council-kursi-kantor-sandaran-tinggi-hitam.html
10499720,INFORMA COUNCIL KURSI KANTOR SANDARAN TINGGI - KREM,Office Seating,"<ul>
<li>Dudukan dan sandaran nyaman</li>
<li>Permukaan terasa halus lembut dan sejuk di kulit</li>
<li>Dapat berputar 360&deg;</li>
<li>Dilengkapi tuas pengatur tinggi dudukan</li>
<li>Rangka kursi kokoh stabil dan awet</li>
<li>Ideal digunakan di kantor atau ruang kerja</li>
<li>Produk ini bersertifikasi TKDN</li>
</ul>",KREM,62.0,96.0,65.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10499720_1.jpg,https://www.ruparupa.com/p/informa-council-kursi-kantor-sandaran-tinggi-krem.html
10499721,INFORMA G COUNCIL KURSI KANTOR SANDARAN TINGGI - COKELAT,Office Seating,"<ul>
<li>Dudukan dan sandaran nyaman</li>
<li>Permukaan terasa halus lembut dan sejuk di kulit</li>
<li>Dapat berputar 360&deg;</li>
<li>Dilengkapi tuas pengatur tinggi dudukan</li>
<li>Rangka kursi kokoh stabil dan awet</li>
<li>Ideal digunakan di kantor atau ruang kerja</li>
<li>Produk ini bersertifikasi TKDN</li>
</ul>",COKELAT,62.0,90.0,65.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10499721_1.jpg,https://www.ruparupa.com/p/informa-g-council-kursi-kantor-sandaran-tinggi-cokelat.html
