sku,name,category,description,color,width_cm,depth_cm,height_cm,image_url,product_url
10554516,INFORMA BENSON RAK SEPATU 9 TINGKAT - HITAM,Home Organizer,"<ul>
<li>Rak yang customizeable</li>
<li>Model dan jumlah tingkat rak dapat dipasang sesuai kebutuhan</li>
<li>Hemat ruang penyimpanan</li>
<li>Mudah dirakit</li>
<li>Rangka kokoh stabil dan awet</li>
<li>Dapat digunakan untuk menyimpan sepatu sandal atau alas kaki lainnya</li>
</ul>",HITAM,31.0,44.0,17.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10554516_1.jpg,https://www.ruparupa.com/p/informa-benson-rak-sepatu-9-tingkat-hitam.html
10554523,INFORMA BRANDON RAK SEPATU 4 TINGKAT - PUTIH,Home Organizer,"<ul>
<li>Rangka kuat kokoh stabil</li>
<li>Ambalan&nbsp;bagian atas dihiasi motif serat kayu natural</li>
<li>Cocok untuk menyimpan sepatu dan sandal</li>
</ul>",PUTIH,7.0,32.0,85.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10554523_1.jpg,https://www.ruparupa.com/p/informa-brandon-rak-sepatu-4-tingkat-putih.html
10554552,SELMA 160X210 BED COVER MICROFIBER BAMBOO - BIRU MIDNIGHT,Selma,"<ul>
<li>Terbuat dari serat bambu alami</li>
<li>Material anti-bakteri</li>
<li>Halus dan lembut</li>
<li>Cocok untuk kulit sensitif</li>
<li>Serat bambu memberikan kesejukan ekstra</li>
<li>Meningkatkan aksen tempat tidur</li>
<li>Material : microfiber bamboo</li>
</ul>",BIRU MIDNIGHT,36.0,36.0,11.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10554552_1.jpg,https://www.ruparupa.com/p/selma-160x210-bed-cover-microfiber-bamboo-biru-midnight.html
10554553,SELMA 210X210 BED COVER MICROFIBER BAMBOO - BIRU MIDNIGHT,Selma,"<ul>
<li>Terbuat dari serat bambu alami</li>
<li>Material anti-bakteri</li>
<li>Halus dan lembut</li>
<li>Cocok untuk kulit sensitif</li>
<li>Serat bambu memberikan kesejukan ekstra</li>
<li>Meningkatkan aksen tempat tidur</li>
<li>Material : microfiber bamboo</li>
</ul>",BIRU MIDNIGHT,37.0,38.0,12.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10554553_1.jpg,https://www.ruparupa.com/p/selma-210x210-bed-cover-microfiber-bamboo-biru-midnight.html
10554554,SELMA 100X200 CM SET 3 PCS SEPRAI BAMBOO MICROFIBER - SILVER UNGU,Selma,"<ul>
<li>Terbuat dari serat bambu alami</li>
<li>Material anti-bakteri</li>
<li>Halus dan lembut</li>
<li>Cocok untuk kulit sensitif</li>
<li>Serat bambu memberikan kesejukan ekstra</li>
<li>Meningkatkan aksen tempat tidur</li>
<li>Material : microfiber bamboo</li>
</ul>",SILVER UNGU,24.0,32.0,4.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10554554_1.jpg,https://www.ruparupa.com/p/selma-100x200-cm-set-3-pcs-seprai-bamboo-microfiber-silver-ungu.html
10554558,SELMA 160X210 CM BED COVER MICROFIBER BAMBOO - SILVER UNGU,Selma,"<ul>
<li>Terbuat dari serat bambu alami</li>
<li>Material anti-bakteri</li>
<li>Halus dan lembut</li>
<li>Cocok untuk kulit sensitif</li>
<li>Serat bambu memberikan kesejukan ekstra</li>
<li>Meningkatkan aksen tempat tidur</li>
<li>Material : microfiber bamboo</li>
</ul>",SILVER UNGU,38.0,38.0,15.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10554558_1.jpg,https://www.ruparupa.com/p/selma-160x210-cm-bed-cover-microfiber-bamboo-silver-ungu.html
10554559,SELMA 210X210 CM BED COVER BAMBOO MICROFIBER - SILVER UNGU,Selma,"<ul>
<li>Material anti-bakteri</li>
<li>Halus dan lembut</li>
<li>Memberikan kesejukan ekstra</li>
<li>Meningkatkan aksen tempat tidur</li>
<li>Cocok untuk kulit sensitif</li>
</ul>",SILVER UNGU,36.0,36.0,13.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10554559_1.jpg,https://www.ruparupa.com/p/selma-210x210-cm-bed-cover-bamboo-microfiber-silver.html
10554575,INFORMA WILLOW BANGKU COUNTER FABRIC - KREM BEIGE,Comm Chair Table,"<ul>
<li>Dudukan dilengkapi bantalan empuk</li>
<li>Rangka kuat kokoh dan stabil</li>
<li>Mudah dipindahkan sesuai kebutuhan</li>
<li>Cocok diletakkan di hunian pribadi cafe hotel restoran atau area komersial lainnya</li>
</ul>",KREM BEIGE,22.0,81.0,28.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10554575_1.jpg,https://www.ruparupa.com/p/informa-willow-bangku-counter-krem-beige.html
10554576,INFORMA WILLOW BANGKU COUNTER FABRIC - KUNING,Comm Chair Table,"<ul>
<li>Dudukan dilengkapi bantalan empuk</li>
<li>Rangka kuat kokoh dan stabil</li>
<li>Mudah dipindahkan sesuai kebutuhan</li>
<li>Cocok diletakkan di hunian pribadi cafe hotel restoran atau area komersial lainnya</li>
</ul>",KUNING,22.0,81.0,28.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10554576_1.jpg,https://www.ruparupa.com/p/informa-willow-bangku-counter-kuning.html
10554577,INFORMA WILLOW BANGKU COUNTER FABRIC - HIJAU,Comm Chair Table,"<ul>
<li>Dudukan dilengkapi bantalan empuk</li>
<li>Rangka kuat kokoh dan stabil</li>
<li>Mudah dipindahkan sesuai kebutuhan</li>
<li>Cocok diletakkan di hunian pribadi cafe hotel restoran atau area komersial lainnya</li>
</ul>",HIJAU,22.0,81.0,28.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10554577_1.jpg,https://www.ruparupa.com/p/informa-willow-bangku-counter-hijau.html
